year,tabriz_temp,global_temp
1808,3.29,7.63
1809,7.81,7.08
1810,7.51,6.92
1811,7.91,6.86
1812,8.00,7.05
1813,8.69,7.74
1814,8.85,7.59
1815,8.35,7.24
1816,11.33,6.94
1817,8.09,6.98
1818,-4.65,7.83
1819,6.88,7.37
1820,8.84,7.62
1821,8.87,8.09
1822,8.54,8.19
1823,8.99,7.72
1824,9.91,8.55
1825,9.12,8.39
1826,9.02,8.36
1827,10.00,8.81
1828,8.98,8.17
1829,9.07,7.94
1830,9.42,8.52
1831,8.63,7.64
1832,7.98,7.45
1833,8.94,8.01
1834,8.78,8.15
1835,8.41,7.39
1836,8.86,7.70
1837,8.59,7.38
1838,8.31,7.51
1839,8.59,7.63
1840,8.53,7.80
1841,8.64,7.69
1842,9.14,8.02
1843,9.15,8.17
1844,8.73,7.65
1845,8.84,7.85
1846,9.45,8.55
1847,9.06,8.09
1848,8.95,7.98
1849,9.19,7.98
1850,8.61,7.90
1851,9.70,8.18
1852,9.23,8.10
1853,9.45,8.04
1854,8.73,8.21
1855,9.41,8.11
1856,8.92,8.00
1857,8.44,7.76
1858,9.05,8.10
1859,9.41,8.25
1860,9.32,7.96
1861,8.25,7.85
1862,8.13,7.56
1863,8.60,8.11
1864,8.87,7.98
1865,9.20,8.18
1866,8.97,8.29
1867,9.13,8.44
1868,9.26,8.25
1869,9.54,8.43
1870,9.33,8.20
1871,9.19,8.12
1872,9.82,8.19
1873,9.85,8.35
1874,9.24,8.43
1875,9.07,7.86
1876,9.42,8.08
1877,9.76,8.54
1878,9.80,8.83
1879,9.91,8.17
1880,8.36,8.12
1881,9.13,8.27
1882,8.82,8.13
1883,9.50,7.98
1884,8.89,7.77
1885,9.09,7.92
1886,8.65,7.95
1887,9.17,7.91
1888,9.79,8.09
1889,9.55,8.32
1890,9.34,7.97
1891,9.06,8.02
1892,9.52,8.07
1893,9.13,8.06
1894,8.59,8.16
1895,9.03,8.15
1896,8.72,8.21
1897,9.04,8.29
1898,8.61,8.18
1899,9.99,8.40
1900,8.89,8.50
1901,9.97,8.54
1902,9.46,8.30
1903,8.92,8.22
1904,8.81,8.09
1905,9.03,8.23
1906,9.14,8.38
1907,8.41,7.95
1908,8.79,8.19
1909,9.64,8.18
1910,9.41,8.22
1911,7.72,8.18
1912,9.66,8.17
1913,8.97,8.30
1914,9.40,8.59
1915,9.76,8.59
1916,9.61,8.23
1917,9.98,8.02
1918,9.37,8.13
1919,9.82,8.38
1920,7.92,8.36
1921,8.81,8.57
1922,9.95,8.41
1923,9.57,8.42
1924,9.62,8.51
1925,9.54,8.53
1926,9.43,8.73
1927,9.49,8.52
1928,8.70,8.63
1929,8.99,8.24
1930,9.67,8.63
1931,8.94,8.72
1932,9.08,8.71
1933,8.80,8.34
1934,8.86,8.63
1935,9.93,8.52
1936,9.62,8.55
1937,9.99,8.70
1938,9.69,8.86
1939,9.70,8.76
1940,10.13,8.76
1941,9.83,8.77
1942,9.62,8.73
1943,9.32,8.76
1944,9.95,8.85
1945,8.86,8.58
1946,9.23,8.68
1947,10.22,8.80
1948,9.30,8.75
1949,8.63,8.59
1950,8.88,8.37
1951,9.48,8.63
1952,9.81,8.64
1953,9.15,8.87
1954,9.80,8.56
1955,10.51,8.63
1956,9.00,8.28
1957,9.21,8.73
1958,9.89,8.77
1959,9.09,8.73
1960,10.31,8.58
1961,10.27,8.80
1962,10.63,8.75
1963,10.19,8.86
1964,8.89,8.41
1965,9.50,8.53
1966,11.38,8.60
1967,8.84,8.70
1968,9.69,8.52
1969,9.18,8.60
1970,10.58,8.70
1971,9.80,8.60
1972,8.36,8.50
1973,9.24,8.95
1974,9.04,8.47
1975,9.92,8.74
1976,9.49,8.35
1977,9.73,8.85
1978,10.27,8.69
1979,10.96,8.73
1980,10.30,8.98
1981,10.56,9.17
1982,8.84,8.64
1983,9.72,9.03
1984,9.85,8.69
1985,10.06,8.66
1986,10.13,8.83
1987,10.33,8.99
1988,9.75,9.20
1989,10.34,8.92
1990,10.07,9.23
1991,10.10,9.18
1992,8.51,8.84
1993,8.78,8.87
1994,10.04,9.04
1995,10.63,9.35
1996,10.70,9.04
1997,9.98,9.20
1998,11.18,9.52
1999,11.36,9.29
2000,10.89,9.20
2001,11.51,9.41
2002,10.62,9.57
2003,10.55,9.53
2004,10.68,9.32
2005,10.60,9.70
2006,10.90,9.53
2007,10.32,9.73
2008,10.67,9.43
2009,10.77,9.51
2010,12.50,9.70
2011,10.01,9.52
2012,11.10,9.51
2013,12.31,9.61
